ID,Disease Name,Category,Symptom Description,Leaf Color,Spots Present,Humidity (%),Temperature (°C),Soil pH,Cause
250,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,69.3,26.4,7.0,Deficiency
251,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,63.7,19.7,6.8,Virus
252,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,68.8,32.5,6.3,Virus
253,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,67.0,29.4,7.1,Bacteria
254,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,62.4,28.8,5.6,Virus
255,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,63.3,23.7,6.5,Environmental
256,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,63.4,24.1,5.2,Virus
257,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,48.1,18.7,7.3,Environmental
258,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,79.8,22.6,4.6,Deficiency
259,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,44.0,26.3,6.0,Environmental
260,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,49.3,26.1,6.7,Environmental
261,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,78.0,24.0,4.5,Fungus
262,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,63.8,29.4,7.5,Bacteria
263,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,70.2,25.8,6.1,Fungus
264,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,80.1,28.2,5.8,Bacteria
265,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,75.9,33.2,5.4,Virus
266,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,79.7,31.8,5.0,Deficiency
267,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,62.8,21.1,6.9,Bacteria
268,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,88.4,17.5,4.7,Environmental
269,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,82.5,28.1,6.8,Fungus
270,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,49.9,32.5,5.2,Fungus
271,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,49.5,19.5,5.9,Fungus
272,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,78.4,15.5,5.7,Environmental
273,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,48.9,18.5,6.0,Fungus
274,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,51.6,19.8,6.2,Fungus
275,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,88.2,20.9,7.1,Environmental
276,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,66.1,17.7,6.6,Chemical
277,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,81.3,19.3,6.0,Environmental
278,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,61.2,17.0,4.8,Virus
279,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,45.5,22.2,5.1,Environmental
280,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,69.9,17.9,7.3,Fungus
281,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,44.1,18.1,6.5,Bacteria
282,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,77.6,20.9,6.5,Bacteria
283,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,71.4,25.6,5.8,Virus
284,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,81.1,23.4,5.0,Environmental
285,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,88.0,15.7,7.3,Deficiency
286,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,57.6,27.3,7.4,Fungus
287,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,62.6,16.3,4.6,Environmental
288,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,83.8,30.8,5.3,Chemical
289,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,48.8,18.7,7.1,Fungus
290,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,51.9,20.3,5.0,Fungus
291,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,65.1,31.7,6.1,Chemical
292,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,81.6,20.3,5.7,Chemical
293,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,89.3,22.4,5.9,Environmental
294,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,63.1,18.0,5.2,Virus
295,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,47.4,28.7,6.1,Virus
296,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,50.3,20.5,5.7,Fungus
297,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,71.5,20.5,6.7,Virus
298,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,83.7,29.8,7.3,Virus
299,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,83.8,19.9,6.1,Deficiency
300,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,64.7,23.4,6.4,Virus
301,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,65.0,34.6,6.7,Deficiency
302,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,79.3,34.8,5.3,Chemical
303,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,62.1,32.6,5.9,Chemical
304,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,80.3,22.2,5.2,Bacteria
305,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,46.1,26.0,5.3,Deficiency
306,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,71.7,33.3,4.7,Fungus
307,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,65.4,16.2,5.9,Bacteria
308,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,55.6,22.5,7.0,Bacteria
309,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,69.1,26.5,7.3,Bacteria
310,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,58.8,33.1,5.9,Environmental
311,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,79.2,19.0,5.1,Environmental
312,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,58.9,15.1,5.8,Environmental
313,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,53.9,18.7,6.2,Environmental
314,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,74.4,28.7,6.4,Fungus
315,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,64.5,32.2,5.1,Environmental
316,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,59.4,16.0,7.2,Fungus
317,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,78.6,21.1,7.1,Environmental
318,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,48.8,33.5,7.1,Environmental
319,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,57.9,23.9,7.3,Chemical
320,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,55.4,33.5,6.4,Virus
321,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,81.0,19.7,5.5,Fungus
322,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,80.6,34.3,7.0,Bacteria
323,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,59.8,25.1,5.4,Virus
324,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,44.6,24.1,4.9,Fungus
325,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,41.5,30.2,5.4,Fungus
326,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,62.4,19.3,5.5,Chemical
327,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,45.9,23.7,5.1,Bacteria
328,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,77.1,24.5,7.4,Bacteria
329,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,69.1,27.4,4.9,Fungus
330,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,67.8,33.1,7.0,Deficiency
331,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,88.2,25.0,5.9,Fungus
332,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,68.5,17.8,4.6,Virus
333,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,85.4,22.3,6.6,Virus
334,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,41.3,20.9,5.1,Environmental
335,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,86.0,31.6,5.2,Chemical
336,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,85.2,30.8,5.7,Deficiency
337,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,58.2,23.0,7.4,Deficiency
338,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,73.7,34.3,7.2,Fungus
339,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,77.1,25.4,6.9,Bacteria
340,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,46.6,22.1,5.4,Bacteria
341,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,61.5,32.9,4.9,Fungus
342,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,70.6,26.3,4.7,Chemical
343,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,76.0,34.5,6.2,Fungus
344,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,48.5,19.6,5.5,Environmental
345,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,77.3,18.9,6.2,Virus
346,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,63.4,25.8,6.1,Deficiency
347,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,88.0,21.1,7.3,Fungus
348,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,73.4,25.3,6.9,Bacteria
349,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,44.3,31.6,5.0,Fungus
350,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,69.9,18.6,6.8,Environmental
351,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,80.1,28.0,5.5,Fungus
352,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,79.8,24.0,5.1,Virus
353,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,73.7,22.7,5.1,Fungus
354,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,77.9,31.8,6.4,Fungus
355,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,74.3,23.4,6.6,Virus
356,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,43.0,29.4,6.4,Deficiency
357,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,60.5,26.5,6.8,Fungus
358,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,65.1,25.8,6.2,Fungus
359,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,70.9,18.7,7.0,Fungus
360,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,63.2,18.0,6.3,Fungus
361,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,84.9,28.8,7.4,Environmental
362,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,49.2,32.0,7.4,Deficiency
363,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,61.0,34.7,6.3,Virus
364,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,82.1,15.2,7.4,Deficiency
365,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,89.6,23.2,7.3,Fungus
366,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,44.9,29.4,6.9,Fungus
367,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,79.0,15.9,5.6,Fungus
368,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,80.4,34.2,7.4,Chemical
369,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,74.3,19.5,6.2,Bacteria
370,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,61.9,25.9,6.0,Virus
371,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,87.3,33.5,4.5,Deficiency
372,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,67.0,33.4,6.4,Fungus
373,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,43.1,23.8,5.3,Environmental
374,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,44.7,25.9,5.6,Fungus
375,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,40.1,24.9,5.2,Fungus
376,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,80.6,33.2,5.0,Virus
377,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,66.2,32.8,4.7,Chemical
378,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,64.0,16.8,5.2,Chemical
379,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,67.6,34.7,5.8,Environmental
380,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,84.1,34.3,7.0,Environmental
381,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,67.5,17.2,6.9,Deficiency
382,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,61.1,28.4,5.7,Environmental
383,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,54.3,31.9,7.4,Deficiency
384,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,62.2,28.3,4.7,Virus
385,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,81.4,18.4,4.8,Fungus
386,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,85.2,30.7,5.9,Virus
387,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,41.2,29.4,5.1,Bacteria
388,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,63.5,32.6,7.1,Bacteria
389,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,40.5,27.3,6.0,Virus
390,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,62.6,31.9,7.3,Environmental
391,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,46.3,19.9,7.3,Virus
392,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,72.4,30.7,5.5,Virus
393,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,45.2,23.7,5.2,Virus
394,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,52.8,25.5,6.4,Fungus
395,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,46.8,21.1,6.8,Fungus
396,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,54.8,28.0,4.9,Fungus
397,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,86.9,23.9,5.4,Virus
398,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,56.3,24.7,6.8,Environmental
399,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,85.3,15.1,4.6,Fungus
400,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,58.6,19.7,6.6,Chemical
401,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,56.0,19.3,6.5,Bacteria
402,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,65.5,22.1,7.3,Virus
403,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,47.4,33.4,5.7,Virus
404,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,89.0,26.1,7.1,Fungus
405,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,77.9,32.3,5.5,Virus
406,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,41.7,27.8,7.1,Chemical
407,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,86.4,23.5,6.2,Deficiency
408,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,83.2,33.9,6.2,Deficiency
409,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,53.5,34.2,7.4,Virus
410,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,57.6,17.2,5.5,Chemical
411,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,41.7,34.1,5.4,Virus
412,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,84.8,15.5,5.6,Environmental
413,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,72.8,32.1,4.8,Fungus
414,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,71.7,20.6,4.9,Virus
415,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,67.7,26.6,5.3,Environmental
416,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,59.6,26.2,7.2,Environmental
417,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,80.7,29.0,4.7,Bacteria
418,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,62.4,16.0,5.9,Fungus
419,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,43.0,20.6,4.6,Environmental
420,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,65.1,20.0,4.9,Virus
421,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,63.9,17.7,6.9,Bacteria
422,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,47.2,30.5,6.9,Fungus
423,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,62.4,26.3,6.9,Fungus
424,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,61.0,19.0,4.8,Chemical
425,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,47.0,27.9,4.7,Virus
426,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,88.7,34.7,5.0,Fungus
427,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,63.5,26.6,5.1,Bacteria
428,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,56.8,33.9,7.4,Fungus
429,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,76.5,19.9,4.7,Deficiency
430,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,71.8,30.0,4.6,Fungus
431,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,64.8,34.9,7.5,Fungus
432,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,81.5,19.4,5.4,Fungus
433,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,86.6,23.0,5.2,Chemical
434,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,56.0,29.0,7.3,Fungus
435,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,77.0,27.6,5.6,Bacteria
436,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,72.0,20.5,5.2,Deficiency
437,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,42.1,35.0,5.8,Environmental
438,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,59.1,34.2,6.5,Bacteria
439,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,40.7,19.8,6.1,Virus
440,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,66.1,16.2,5.4,Virus
441,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,89.9,32.4,6.8,Fungus
442,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,88.6,27.7,4.9,Virus
443,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,50.6,15.6,5.2,Chemical
444,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,69.0,26.4,6.6,Virus
445,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,71.0,32.4,6.8,Fungus
446,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,45.4,30.7,5.5,Deficiency
447,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,80.7,27.1,6.1,Environmental
448,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,63.6,24.2,4.6,Fungus
449,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,69.6,32.1,6.4,Fungus
450,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,47.3,19.4,6.9,Fungus
451,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,53.7,26.6,7.0,Fungus
452,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,73.6,15.7,6.9,Deficiency
453,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,53.5,18.5,6.2,Fungus
454,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,84.2,22.6,7.4,Chemical
455,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,85.6,20.1,5.6,Fungus
456,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,69.1,23.5,5.2,Fungus
457,Late Blight,Biotic,"Dark lesions, water-soaked spots",Dark Brown,Yes,60.2,32.7,5.1,Fungus
458,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,80.4,18.2,6.6,Environmental
459,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,83.6,23.4,6.0,Deficiency
460,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,48.5,21.1,5.4,Virus
461,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,49.4,20.1,5.1,Chemical
462,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,71.4,26.1,7.5,Virus
463,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,42.1,18.1,6.6,Virus
464,Nutrient Deficiency,Abiotic,"Yellowing leaves, weak stems",Yellow,No,82.0,33.7,7.4,Deficiency
465,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,46.9,15.9,6.4,Chemical
466,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,43.0,32.5,4.5,Chemical
467,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,61.9,29.7,6.9,Chemical
468,Septoria Leaf Spot,Biotic,Circular spots with gray centers,Gray,Yes,73.9,20.4,7.2,Fungus
469,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,59.7,27.0,6.1,Environmental
470,Early Blight,Biotic,Brown spots with yellow halo,Brown,Yes,46.3,22.2,7.4,Fungus
471,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,67.3,20.6,5.3,Environmental
472,Sunscald,Abiotic,"White, blistered patches on fruit",White,No,47.1,18.3,5.1,Environmental
473,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,58.1,28.5,5.3,Bacteria
474,Tomato Spotted Wilt,Biotic,"Bronzing of young leaves, spotting",Bronze,Yes,84.7,20.7,6.4,Virus
475,Bacterial Spot,Biotic,"Small, dark spots with yellow border",Yellow,Yes,58.3,27.6,4.7,Bacteria
476,Tomato Mosaic Virus,Biotic,Mosaic-like yellow-green leaves,Mosaic,No,63.3,27.2,7.5,Virus
477,Water Stress,Abiotic,"Wilting, browning edges",Brown,No,48.6,31.3,6.4,Environmental
478,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,58.4,31.1,6.3,Chemical
479,Herbicide Injury,Abiotic,"Leaf curling, chlorosis",Yellow-Green,No,55.5,31.4,6.8,Chemical
